2025-11-29 12:12:45.079 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-11-29 12:14:47.392 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
2025-11-29 12:14:47.392 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@2f3565c0
2025-11-29 12:14:47.484 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-29 12:14:47.491 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-29 12:14:47.493 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:47.498 [main] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Broker not available; cannot force queue declarations during start: java.net.ConnectException: Connection refused: getsockopt
2025-11-29 12:14:47.502 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:47.506 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:47.507 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2025-11-29 12:14:47.507 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2025-11-29 12:14:47.516 [main] INFO  org.example.MyProjectBackendApplication - Started MyProjectBackendApplication in 3.062 seconds (process running for 3.476)
2025-11-29 12:14:52.523 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@5da41d02: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:14:52.524 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:52.524 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:57.537 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@59039d0e: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:14:57.538 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:14:57.539 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:00.006 [scheduling-1] INFO  org.example.task.BaseInfoUpdateTask - 开始执行定时任务：更新网站基础信息
2025-11-29 12:15:00.018 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-29 12:15:02.557 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@69d6a060: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:02.558 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:02.559 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:07.574 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-4] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@221b6fa1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:07.575 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:07.576 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:12.591 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@7785fdb5: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:12.592 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:12.593 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:17.603 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-6] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@4506dd68: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:17.604 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-7] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:17.605 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-7] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:22.615 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-7] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@2492e802: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:22.616 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-8] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:22.617 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-8] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:27.627 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-8] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@7d497244: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:27.628 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-9] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:27.629 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-9] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:32.642 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-9] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@56b88771: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:32.643 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-10] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:32.644 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-10] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:37.657 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-10] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@26c5d0f0: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:37.658 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-11] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:37.658 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-11] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:42.671 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-11] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@70697433: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:42.672 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-12] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:42.673 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-12] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:47.685 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-12] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@7bd98b55: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:47.686 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-13] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:47.687 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-13] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:52.701 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-13] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@bc3dba5: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:52.702 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-14] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:52.702 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-14] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:57.714 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-14] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@63a58a6e: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:15:57.715 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-15] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:15:57.716 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-15] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:00.000 [scheduling-1] INFO  org.example.task.BaseInfoUpdateTask - 开始执行定时任务：更新网站基础信息
2025-11-29 12:16:00.000 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-29 12:16:02.730 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-15] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@17d70160: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:02.731 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-16] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:02.731 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-16] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:07.744 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-16] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@6a96d1a1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:07.745 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-17] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:07.746 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-17] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:12.759 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-17] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@263b610c: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:12.760 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-18] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:12.761 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-18] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:17.772 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-18] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@556c4e63: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:17.773 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-19] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:17.774 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-19] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:22.788 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@58e37568: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:22.789 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-20] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:22.789 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-20] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:27.803 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-20] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@1cda259d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:27.804 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-21] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:27.805 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-21] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:32.817 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-21] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@4e48bc80: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:32.818 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-22] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:32.818 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-22] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:37.833 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-22] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@7b1341b: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:37.834 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-23] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:37.835 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-23] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:42.845 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-23] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@518bcd6c: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:42.846 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-24] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:42.846 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-24] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:47.858 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-24] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@627c345e: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:47.859 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-25] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:47.860 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-25] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:52.872 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-25] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@6ec31ee5: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:52.873 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-26] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:52.873 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-26] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:57.889 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-26] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@66a54304: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:16:57.890 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-27] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:16:57.890 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-27] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:00.001 [scheduling-1] INFO  org.example.task.BaseInfoUpdateTask - 开始执行定时任务：更新网站基础信息
2025-11-29 12:17:00.001 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-29 12:17:02.904 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-27] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@509d7fa6: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:17:02.905 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-28] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:02.906 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-28] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:07.923 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-28] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@475cf855: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:17:07.924 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-29] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:07.925 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-29] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:12.939 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-29] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@32362573: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:17:12.940 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-30] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:12.941 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-30] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:17.954 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-30] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@1bf37677: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:17:17.955 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-31] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:17.956 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-31] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:22.969 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-31] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@234c60ea: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2025-11-29 12:17:22.970 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-32] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:22.971 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-32] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2025-11-29 12:17:27.985 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-32] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@2be6c7b9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
